DESIGNATION MATERIEL;"CATEGORIE";"SOUS CATEGORIE";"N° INV. IRAP";"DESCRIPTION";"Organisme (UPS ou CNRS)";"INVENTORIABLE";"TECHNIQUE";"STATUT";"NOM du FOURNISSEUR";"MONTANT";"ORIGINE CREDITS";"CDE";"CODE COMPTABLE";"REF. MATERIEL - N° série";"groupe thematique";"groupe technique";"Numéro inventaire organisme";"Lieu de stockage";"description lieu";"NOM RESPONSABLE PROJET";"Mail responsable";"Date de mise en service"
POMPE PENTA 35;"INSTRUMENTATION";;"IRAP09-0680";;"CNRS";;;;"ASTEMEC SARL";2144,42;229221;;21540000;;;;"14010448000--LP/642";;;;;"22/01/2009"
SERVEUR TRANSTEC 4150 L;"INFORMATIQUE";;"IRAP09-0681";;"CNRS";;;;"1028452";7758,50;229221;;21830000;;;;"14010430000--LP/639";;;;;"20/01/2009"
MACHINE CNC COMPACTE ICP4030;"INSTRUMENTATION";;"IRAP09-0682";;"CNRS";;;;"ISEL";4540,00;229233;;21540000;;;;"14010571000--LP/647";;;;;"11/02/2009"
EXTENSION XYRATEX KOMPOSITE 5402 BAIERAID;"INSTRUMENTATION";;"IRAP09-0683";;"CNRS";;;;"1003880";4890,00;2292515;;21540000;;;;"14010624000--LP646";;;;;"10/02/2009"
Caméra LUCA EM + Software Development Kit;"INSTRUMENTATION";;"IRAP09-0684";;"CNRS";;;;"ANDOR TECHNOLOGY LTD";11110,00;229221;;21540000;;;;"14010429000--LP/638";;;;;"09/01/2009"
Réseau Fresnel Binaire;"INSTRUMENTATION";;"IRAP09-0685";;"CNRS";;;;"MUL MICRO USINAGE LASER";6600,00;229233;;21540000;;;;;;;;;"05/01/2009"
OPTIPLEX 960 MT DELL;"INFORMATIQUE";;"IRAP09-0686";;"CNRS";;;;"DELL";935,40;273604;;21830000;;;;"14010680000--LP/653";;;;;"25/02/2009"
LATITUDE E4300 DELL;"INFORMATIQUE";;"IRAP09-0687";;"CNRS";;;;"DELL";2341,00;2292515;;21830000;;;;"14010587000--LP/650";;;;;"24/02/2009"
LENTILLE DE FRESNEL BLAZEE 60mm;"OPTIQUE";;"IRAP09-0688";;"CNRS";;;;"SILIOS TECHNOLOGIES";24300,00;229088;;21540000;;;;"14010911000--06-2001";;;;;"24/03/2009"
MAQUETTE SOLEIL;"INSTRUMENTATION";;"IRAP09-0689";;"CNRS";;;;"PROTOTEC";19880,00;"9ADO0277";;21540000;;;;"14010842001--658";;;;;"01/04/2009"
CAMERA 1004x1002 Luca EM ANDOR;"INSTRUMENTATION";;"IRAP09-0690";"CAMERA CALAS";"CNRS";;;;"ANDOR TECHNOLOGY LTD";11000,00;229233;;21540000;;;;"14011117000--17-2001";;;;;"06/05/2009"
CONDITIONNEUR CAPTEUR ET CABLE;"INSTRUMENTATION";;"IRAP09-0691";;"CNRS";;;;"FOGALE NANOTECH";1662,00;229233;;21540000;;;;"14011125000--18-2001";;;;;"15/05/2009"
STATION DE TRAVAIL TRANSTEC 2200;"INFORMATIQUE";;"IRAP09-0692";;"CNRS";;;;"1028452";1777,00;"9ADO0277";;21830000;;;;"14011082000--LP/663";;;;;"09/06/2009"
1 LOT DE 2 FILTRES DICHROIQUE;"INSTRUMENTATION";;"IRAP09-0693";;"CNRS";;;;"CVI LASER CVI MELLES GRIOT";2580,00;229233;;21540000;;;;"14011145000--LP/668";;;;;"15/06/2009"
CAMERA LINK FRAME GRABBER;"INSTRUMENTATION";;"IRAP09-0694";"CAMERA CALAS";"CNRS";;;;"ACTIVE SILICON";1190,00;"9ADO0277";;21540000;;;;"14020076000--LP/675";;;;;"25/06/2009"
CIRCUIT DE REFROIDISSEMENT;"INSTRUMENTATION";;"IRAP09-0695";;"CNRS";;;;"PFEIFFER VACUUM FRANCE";1678,32;"9ADO0263";;21540000;;;;"14000693000--12-2000";;;;;"01/01/2009"
DOUBLET COLLE S-BSM18/N-SF10;"OPTIQUE";;"IRAP09-0696";;"CNRS";;;;"OPTIQUE DE PRECISION J FICHOU";4432,00;229233;;21540000;;;;"14020398000--LP/681/03";;;;;"30/06/2009"
Système de mesure ECL202+U3B;"INSTRUMENTATION";;"IRAP09-0697";;"CNRS";;;;"IBS PRECISION ENGINEERING";3578,90;229233;;21540000;;;;"29020226000--042002";;;;;"30/06/2009"
OPTIPLEX 755 MT;"INFORMATIQUE";;"IRAP09-0698";;"CNRS";;;;"DELL";900,40;"9ADO0263";;21830000;;;;"29001414000--INSU0057";;;;;"01/01/2009"
ANALYSEUR DE FRONT D'ONDE SID4;"INSTRUMENTATION";;"IRAP09-0699";;"CNRS";;;;"PHASICS";24500,00;"9ADO0277";;21540000;;;;"14020386000--06.2002.01";;;;;"30/07/2009"
LATITUDE E4200 BLACK INTEL CORE;"INFORMATIQUE";;"IRAP09-0700";;"CNRS";;;;"DELL";1299,60;268841;;21830000;;;;"14010431000--LP/640";;;;;"21/01/2009"
SOURCE 635 nm FIBREECOLLIMATEE;"OPTIQUE";;"IRAP09-0701";;"CNRS";;;;"PHASICS";2500,00;"9ADO0277";;21540000;;;;"14020322000--LP/683";;;;;"30/07/2009"
LATITUDE E4200 BLACK INTEL CORE;"INFORMATIQUE";;"IRAP09-0702";;"CNRS";;;;"DELL";1299,60;268841;;21830000;;;;"14010649000--03-2001";;;;;"21/02/2009"
OPTIPLEX 755 MT;"INFORMATIQUE";;"IRAP09-0703";;"CNRS";;;;"DELL";900,40;"9ADO0263";;21830000;;;;;;;;;"01/01/2009"
PRECISION T3400 DELL;"INFORMATIQUE";;"IRAP09-0704";;"CNRS";;;;"DELL";961,90;268841;;21830000;;;;"14010633000--LP648/09";;;;;"18/02/2009"
ORDINATEUR DELL LATITUDE E4300;"INFORMATIQUE";;"IRAP09-0705";;"CNRS";;;;"DELL";1021,35;"9ADO0277";;21830000;;;;"14010860000--LP/602";;;;;"02/04/2009"
PC PORTABLE LATITUDE E6500;"INFORMATIQUE";;"IRAP09-0706";;"CNRS";;;;"DELL";1249,55;2292512;;21830000;;;;"14010590000--LP/649";;;;;"24/02/2009"
EXTENSION COMMUTATEUR FIBRE CHANNEL;"INFORMATIQUE";;"IRAP09-0707";;"CNRS";;;;"1028452";3639,50;"9ADO0277";;21830000;;;;"29020250000--052002A";;;;;"29/07/2009"
POMPE A VIDE A MEMBRANES DIVAC;"INSTRUMENTATION";;"IRAP09-0708";;"CNRS";;;;"OERLIKON LEYBOLD VACUUM";2048,50;263982;;21540000;;;;"14010727000--LP/652";;;;;"24/02/2009"
COMPTEUR DE PARTICULES LIGHTHOUSE HH3016KIT;"INSTRUMENTATION";;"IRAP09-0709";;"CNRS";;;;"GOMETROLOGIE";3600,00;268841;;21540000;;;;"14010771000--LP/654";;;;;"26/02/2009"
PE 1950 III QUAD CORE XEON L5410;"INFORMATIQUE";;"IRAP09-0710";;"CNRS";;;;"DELL";2200,10;2292512;;21830000;;;;"14010776000--04-2001";;;;;"03/03/2009"
Portable SONY ordinateur Vaio;"INFORMATIQUE";;"IRAP09-0711";;"CNRS";;;;"RSM INFORMATIQUE";3016,43;2292512;;21830000;;;;"14010776001--07-2001";;;;;"05/03/2009"
SERVEUR TRANSTEC 4150 L;"INFORMATIQUE";;"IRAP09-0712";;"CNRS";;;;"1028452";7758,50;229221;;21830000;;;;"14010355000--00";;;;;"21/01/2009"
OSCILLOSCOPE WAVERUNNER;"ELECTRONIQUE";;"IRAP09-0713";;"CNRS";;;;"LECROY SARL";9621,00;229238;;21540000;;;;"14010728000--LP/651";;;;;"24/02/2009"
1 TABLE DE TRAVAIL ELABO;"INSTRUMENTATION";;"IRAP09-0714";;"CNRS";;;;"DIGAN ELECTRONIQUE";1112,00;263982;;21540000;;;;"14010784000--LP/656";;;;;"13/03/2009"
ALIMENTATION HAUTE TENSION 10kV;"INSTRUMENTATION";;"IRAP09-0715";;"CNRS";;;;"SYSTEMES DIDACTIQUES";901,00;286251;;21540000;;;;"14020733000--17-2002";;;;;"07/09/2009"
PROGRAMMATEUR ACTEL;"INSTRUMENTATION";;"IRAP09-0716";;"CNRS";;;;"STE EUROPEENNE DE SYSTEMES OPTIQUES";3495,00;263982;;21540000;;;;"14010776002--08-2001";;;;;"10/03/2009"
APPLIANCE U250 6 PORTS GIGABITS;"INFORMATIQUE";;"IRAP09-0717";;"CNRS";;;;"INTERACT SYSTEMES SUD OUEST";4530,30;"9ADO0277";;21830000;;;;"14020899000--20-2002";;;;;"10/11/2009"
PC Linux;"INFORMATIQUE";;"IRAP09-0718";;"CNRS";;;;"1071767";2799,84;2292512;;21830000;;;;"14010476000--LP/645";;;;;"04/02/2009"
BOITIER DE BACKUP U250;"INFORMATIQUE";;"IRAP09-0719";;"CNRS";;;;"INTERACT SYSTEMES SUD OUEST";3622,32;"9ADO0277";;21830000;;;;"14020899001--21-2002";;;;;"10/11/2009"
ORDINATEUR PRECISION M2400;"INFORMATIQUE";;"IRAP09-0720";;"CNRS";;;;"DELL";1674,40;268841;;21830000;;;;"29020249000--052002B";;;;;"17/07/2009"
PC CAT 4 CONF 1 PRECISION M2400;"INFORMATIQUE";;"IRAP09-0721";;"CNRS";;;;"DELL";822,00;"9ADO0277";;21830000;;;;"14021045000--24.2002";;;;;"23/11/2009"
PC PRECISION T3500;"INFORMATIQUE";;"IRAP09-0722";;"CNRS";;;;"DELL";1093,90;"9ADO0263";;21830000;;;;"14011107000--LP/662";;;;;"22/04/2009"
CHAMBRE CUBIQUE DE STOCKAGE;"INSTRUMENTATION";;"IRAP09-0723";;"CNRS";;;;"TRINOS VACUUM SYSTEM GMBH";7880,00;263982;;21540000;;;;"14010842000--657";;;;;"30/03/2009"
LATITUDE E6500 N-SERIE INTEL CORE 2 DUO;"INFORMATIQUE";;"IRAP09-0724";;"CNRS";;;;"DELL";1137,00;"9ADO0277";;21830000;;;;"14021108000--34.2002";;;;;"02/12/2009"
LATITUDE E6400 INTEL CORE;"INFORMATIQUE";;"IRAP09-0725";;"CNRS";;;;"DELL";1804,95;2292512;;21540000;;;;"14011094000--LP/665";;;;;"15/04/2009"
PC PORTABLE LATITUDE E6500;"INFORMATIQUE";;"IRAP09-0726";;"CNRS";;;;"DELL";872,00;"9ADO0277";;21830000;;;;"14021283000--LP699";;;;;"10/12/2009"
LATITUDE E6500 INTEL CORE 2 DUO;"INFORMATIQUE";;"IRAP09-0727";;"CNRS";;;;"DELL";1859,05;2292512;;21540000;;;;"14011008000--LP660";;;;;"09/04/2009"
PRECISION T7500 : N-SERIES BASE MINI-TOUR;"INFORMATIQUE";;"IRAP09-0728";;"CNRS";;;;"DELL";4559,75;273604;;21830000;;;;"14021104000--31.2002";;;;;"29/06/2009"
NACELLE ELEVATRICE;"INSTRUMENTATION";;"IRAP09-0729";;"CNRS";;;;"1026896";9039,98;2292512;;21540000;;;;"14010966000--11-2001";;;;;"09/04/2009"
ECHAFFAUDAGE TELESCOPIQUE;"INSTRUMENTATION";;"IRAP09-0730";;"CNRS";;;;"1026896";2021,00;2292512;;21540000;;;;"14011083000--LP/664";;;;;"09/04/2009"
PORTABLE Latitude E6500 DELL;"INFORMATIQUE";;"IRAP09-0731";;"CNRS";;;;"DELL";1305,85;273601;;21830000;;;;"14011201000--13-2001";;;;;"19/05/2009"
PORTABLE PRECISION M6400 DELL;"INFORMATIQUE";;"IRAP09-0732";;"CNRS";;;;"DELL";1332,35;273601;;21830000;;;;"14011204000--15-2001";;;;;"31/05/2009"
CESR - Taranis/Asic;"ELECTRONIQUE";;"IRAP09-0733";;"CNRS";;;;"MIND";215000,00;254263;;23150009;;;;"14011103000--LP/659";;;;;"15/04/2009"
BRIDE SPECIALE KF DN40;"INSTRUMENTATION";;"IRAP09-0734";;"CNRS";;;;"PLUG'IN";2077,20;2292512;;21540000;;;;"14011138000--LP662";;;;;"11/06/2009"
ORDINATEUR MACBOOK PRO;"INFORMATIQUE";;"IRAP09-0735";;"CNRS";;;;"FRANCE SYSTEMES";2515,66;2292512;;21830000;;;;"14020111000--674/07";;;;;"26/06/2009"
ORDINATEUR MACBOOK PRO;"INFORMATIQUE";;"IRAP09-0736";;"CNRS";;;;"FRANCE SYSTEMES";1707,20;2292512;;21830000;;;;"14011215000--13-2001";;;;;"24/06/2009"
Analyseur de spectre type MXA;"INSTRUMENTATION";;"IRAP09-0737";;"CNRS";;;;"AGILENT TECHNOLOGIES FRANCE AGILENT TECH";17392,80;2292512;;21540000;;;;"14011151000--20-2001";;;;;"23/06/2009"
SUN SERVEUR T5140;"INFORMATIQUE";;"IRAP09-0738";;"CNRS";;;;"CAPELLA MEDIA";20317,82;2292512;;21830000;;;;"14020101000--LP/680/22";;;;;"26/06/2009"
CHASSIS J4400;"INFORMATIQUE";;"IRAP09-0739";;"CNRS";;;;"CAPELLA MEDIA";15288,52;2292512;;21830000;;;;"14020690000--LP/690/09";;;;;"26/06/2009"
MAC BOOK PRO 15"";"INFORMATIQUE";;"IRAP09-0740";;"CNRS";;;;"FRANCE SYSTEMES";1476,80;268841;;21830000;;;;"14020394000--03.2002.01";;;;;"08/07/2009"
MACBOOK PRO15,4"";"INFORMATIQUE";;"IRAP09-0741";;"CNRS";;;;"FRANCE SYSTEMES";1961,23;"9ADO0263";;21540000;;;;"14011116000--16-2001";;;;;"05/05/2009"
SERVEUR SUN;"INFORMATIQUE";;"IRAP09-0742";;"CNRS";;;;"CAPELLA MEDIA";12931,21;2292512;;21830000;;;;"14020574000--688/30";;;;;"19/08/2009"
OSCILLOSCOPE;"ELECTRONIQUE";;"IRAP09-0743";;"CNRS";;;;"EQUIPEMENTS SCIENTIFIQUES";7950,00;2292512;;21540000;;;;"14020733001--17-2002";;;;;"08/09/2009"
RAIL;"INSTRUMENTATION";;"IRAP09-0744";;"CNRS";;;;"BRAMMER FRANCE";1509,50;2292512;;21540000;;;;"29020426000--082002";;;;;"31/07/2009"
RAIL;"INSTRUMENTATION";;"IRAP09-0745";;"CNRS";;;;"BRAMMER FRANCE";1509,50;2292512;;21540000;;;;"14020572000--11.2002/05";;;;;"31/07/2009"
ONDULEUR;"INFORMATIQUE";;"IRAP09-0746";;"CNRS";;;;"CAPELLA MEDIA";1027,00;287991;;21540000;;;;"14020731000--15-2002";;;;;"28/08/2009"
MACBOOK PRO 15,4"";"INFORMATIQUE";;"IRAP09-0747";;"CNRS";;;;"FRANCE SYSTEMES";2656,24;2292512;;21830000;;;;"14020732000--16-2002";;;;;"01/09/2009"
SERVEUR DE CALCUL;"INFORMATIQUE";;"IRAP09-0748";;"CNRS";;;;"DELL";8226,00;287991;;21830000;;;;"14020730000--14-2002/10";;;;;"27/08/2009"
BAIE DE DISQUES;"INFORMATIQUE";;"IRAP09-0749";;"CNRS";;;;"CAPELLA MEDIA";11438,46;287991;;21830000;;;;"14020796000--LP696/18";;;;;"06/11/2009"
BAIE NETAP (COMPOSANT) FAS2020/12;"INFORMATIQUE";;"IRAP09-0750";;"CNRS";;;;"DIRECT FINANCEMENT INFORMATIQUE";14762,39;"9ADO0263";;21830000;;;;"14020639000--13-2002/3";;;;;"21/09/2009"
LATITUDE E6500 DELL;"INFORMATIQUE";;"IRAP09-0751";;"CNRS";;;;"DELL";991,00;229238;;21830000;;;;"14020644000--18-2002/18";;;;;"19/10/2009"
PORTABLE LATITUDE E6500 DELL;"INFORMATIQUE";;"IRAP09-0752";;"CNRS";;;;"DELL";896,00;2292421;;21830000;;;;;;;;;"21/10/2009"
CRYOTHEMOSTAT TNT;"INSTRUMENTATION";;"IRAP09-0753";;"CNRS";;;;"AVANTEC";11407,53;268841;;21540000;;;;"14020762000--LP 693";;;;;"27/10/2009"
NIKON D5000;"INSTRUMENTATION";;"IRAP09-0754";;"CNRS";;;;"ALAIN PORTET";1276,59;"9ADO0263";;21540000;;;;"14020797000--LP697/18";;;;;"02/11/2009"
POMPE TURBO MOLECULAIRE;"INSTRUMENTATION";;"IRAP09-0755";;"CNRS";;;;"OERLIKON LEYBOLD VACUUM";6842,00;263982;;21540000;;;;"14020798000--LP 692/25";;;;;"02/11/2009"
COMMUTATEUR RESEAU;"INFORMATIQUE";;"IRAP09-0756";;"CNRS";;;;"INTERACT SYSTEMES SUD OUEST";1841,56;273601;;21830000;;;;"14021099000--27.2002";;;;;"23/11/2009"
ORDINATEUR PORTABLE DELL;"INFORMATIQUE";;"IRAP09-0757";;"CNRS";;;;"DELL";1320,50;2292512;;21830000;;;;"14021100000--28.2002";;;;;"30/11/2009"
ORDINATEUR PORTABLE DELL;"INFORMATIQUE";;"IRAP09-0758";;"CNRS";;;;"DELL";1320,50;2292512;;21830000;;;;"14021100001--28.2002";;;;;"30/11/2009"
SYSTEME DE POMPAGE;"INSTRUMENTATION";;"IRAP09-0759";"POMPE A VIDE";"CNRS";;;;"TRINOS VACUUM SYSTEM GMBH";57800,00;268841;;21540000;;;;"14021102000--29.2002";;;;;"01/12/2009"
PC PORTABLE PRECISION M4400;"INFORMATIQUE";;"IRAP09-0760";;"CNRS";;;;"DELL";1344,50;2292512;;21830000;;;;"14021103000--30.2002";;;;;"01/12/2009"
SERVEUR POWER EDGE R710;"INFORMATIQUE";;"IRAP09-0761";;"CNRS";;;;"DELL";3273,00;"9ADO0263";;21830000;;;;"14021101000--33.2002";;;;;"30/11/2009"
STATION DE TRAVAIL;"INFORMATIQUE";;"IRAP09-0762";;"CNRS";;;;"1027414";2234,10;2292512;;21830000;;;;"14020747000--LP 695";;;;;"02/11/2009"
LOT DE 2 MACBOOK PRO 15,4"";"INFORMATIQUE";;"IRAP09-0763";;"CNRS";;;;"FRANCE SYSTEMES";4794,93;2874940;;21830000;;;;"14020955000--698";;;;;"18/11/2009"
SWITCH HP PROCURVE;"INFORMATIQUE";;"IRAP09-0764";;"CNRS";;;;"INTERACT SYSTEMES SUD OUEST";1841,56;"9ADO0263";;21830000;;;;"14021043000--23.2002";;;;;"20/11/2009"
SWITCH HP PROCURVE;"INFORMATIQUE";;"IRAP09-0765";;"CNRS";;;;"INTERACT SYSTEMES SUD OUEST";1679,31;"9ADO0263";;21830000;;;;"14021044000--23.2002";;;;;"20/11/2009"
PORTABLE DELL PRECISION M2400 INTEL;"INFORMATIQUE";;"IRAP09-0766";;"CNRS";;;;"DELL";1219,01;"9ADO0263";;21830000;;;;"14021285000--LP/703";;;;;"14/12/2009"
CONFIGURATION PC BUREAU SAMSUNG;"INFORMATIQUE";;"IRAP09-0767";;"CNRS";;;;"INFORMATIQUE LEADER GAT-MICRO";1591,98;"9ADO0263";;21830000;;;;"14021284000--LP/702";;;;;"10/12/2009"
PORTABLE LATITUDE E4200;"INFORMATIQUE";;"IRAP09-0768";;"CNRS";;;;"DELL";1436,00;268841;;21830000;;;;"14021286000--LP 704";;;;;"15/12/2009"
PORTABLE DELL LATITUDE E4200;"INFORMATIQUE";;"IRAP09-0769";;"CNRS";;;;"DELL";995,00;268841;;21830000;;;;"14021287000--LP 705";;;;;"15/12/2009"
PORTABLE PRECISION M4400 INTEL CORE;"INFORMATIQUE";;"IRAP09-0770";;"CNRS";;;;"DELL";1208,50;263982;;21830000;;;;"14021288000--LP 706";;;;;"17/12/2009"
MAC BOOK PRO 15,4" LED/CORE";"INFORMATIQUE";;"IRAP09-0771";;"CNRS";;;;"FRANCE SYSTEMES";1772,46;"9ADO0263";;21830000;;;;"14021272000--LP701";;;;;"09/12/2009"
LOGICIEL;"INFORMATIQUE";;"IRAP09-0772";;"UPS";;;;;1500,00;268841;"11134";20530000;;;;"2009/501";;;;;
N01925 MICROSOFT WORKS;"INFORMATIQUE";;"IRAP09-0773";;"CNRS";;;;;2045,40;;;21830000;;;;"14010563000--02-2001";;;;;"04/02/2009"
PC/104 CELERON;"INFORMATIQUE";;"IRAP09-0774";;"CNRS";;;;;1284,46;;;21830000;;;;"29011151000--INSU0062";;;;;"27/03/2009"
PRECISION M2400 DELL;"INFORMATIQUE";;"IRAP09-0775";;"UPS";;;;"DELL";1691,00;268841;"10556";21830000;"M2400";;;"14021624000--37 2002";;;;;"24/06/2009"
STATION DE TRAVAIL;"INFORMATIQUE";;"IRAP09-0776";;"UPS";;;;"1027414";2094,00;270661;"10881";;"7310934";;;"14020650000--LP/691/30";;;;;"26/08/2009"
LATT - Software For Sidecar ASIC Development Kit;"INFORMATIQUE";;"IRAP09-0777";;"CNRS";;;;;32500,00;229233;;23150009;;;;"14020782000--LP 694";;;;;"29/10/2009"
LATITUDE E6500 INTEL CORE 2 DUO;"INFORMATIQUE";;"IRAP09-0778";;"CNRS";;;;"DELL";1097,00;229088;;21830000;;;;"29000717000--2000E01";;;;;"01/01/2009"
PORTABLE HP;"INFORMATIQUE";;"IRAP09-0779";;"UPS";;;;"HP";;"K06P00045";"4500019288";;;;;"14061706000--INVT 137";;;"TOUR";;
SERVEUR;"INFORMATIQUE";;"IRAP09-0780";;"UPS";;;;"RSM INFORMATIQUE";;"K06P00038";"4500019254";;;;;"29061302000--138";;;"PENOU";;
CLIMATISEUR;"LOGISTIQUE";;"IRAP09-0781";;"UPS";;;;"PROMOSANIT";;"K06P00045";"4500021896";;;;;"29061303000--139";;;"BARTHE";;
PORTABLE HP;"INFORMATIQUE";;"IRAP09-0782";;"UPS";;;;"HP";1256,00;"K06P00037";"4500032903";;;;;"14061832000--802/30";;;"JACQUEY";;
PORTABLE HP;"INFORMATIQUE";;"IRAP09-0783";;"UPS";;;;"HP";1185,00;"K08P000236";"4500028952";;;;;"14061780000--140";;;"PALLIER E";;
SERVEUR PE 1950 III CORE XEON;"INFORMATIQUE";;"IRAP09-0784";;"UPS";;;;"DELL";3124,00;"K06P00041";"4500010256";;;;;"14061781000--141";;;"KNODLSEDER";;
STATION DE TRAVAIL;"INFORMATIQUE";;"IRAP09-0785";;"UPS";;;;"HP";738,09;"K06P00044";"4500045778";;;;;"14061782000--142";;;"GRIMALD";;
SERVEUR PV MD1000 SAS SATA BASE;"INFORMATIQUE";;"IRAP09-0786";;"UPS";;;;"DELL";4479,00;"K06P00041";"4500010256";;;;;"14061854000--803/30";;;"KNODLSEDER";;
BALANCE D'ANALYSE;"INSTRUMENTATION";;"IRAP09-0787";;"UPS";;;;"METTLER TOLEDO";3608,25;"CQ4";"4500071831";;;;;"29061400000--144";;;"JOBLIN";;
WORKSTATION CONFIG 3;"INFORMATIQUE";;"IRAP09-0788";;"UPS";;;;"HP";1115,00;"K08000186";"4500010930";;;;;"29061402000--143";;;"LACOMBE";;
THERMOPILE;"INSTRUMENTATION";;"IRAP09-0789";;"UPS";;;;"MICRO CONTRÔLE";2237,67;"CQ4";"4500073786";;;;;"148 À 159";;;"JOBLIN";;
WORKSTATION CONFIG 3;"INFORMATIQUE";;"IRAP09-0790";;"UPS";;;;"HP";1115,00;"K08000186";"4500010930";;;;;"162+163+164+165";;;"LACOMBE";;
ALIMENTATION;"INSTRUMENTATION";;"IRAP09-0791";;"UPS";;;;"SEFELEC";1824,00;"CQ4";"4500076366";;;;;"MA609F/A";;;"MURAT";;
MACBOOK PRO 17"";"INFORMATIQUE";;"IRAP09-0792";;"UPS";;;;"I CONCEPT";;"K06000027";"4500012535";;;;;"810/30 + 811/30";;;"SAUVAUD";;
MACBOOK PRO 17"";"INFORMATIQUE";;"IRAP09-0793";;"UPS";;;;"I CONCEPT";3762,53;"AUTSUB";"4500076437";;;;;;;;"POINTECOUTEAU";;
CRYOSTAT OPTIQUE;"INSTRUMENTATION";;"IRAP09-0794";;"UPS";;;;"QMC INSTRUMENTS LTD";28750,00;"CPER";"4500076791";;;;;;;;"DEMYK";;
CLIMATISATION LOCAL SERVEUR;"LOGISTIQUE";;"IRAP09-0795";;"UPS";;;;"SNEF";8318,75;"CQ4";"4500052809";;;;;;;;"HILLEMBRAND";;
GERBEUR REF PA0515;"INSTRUMENTATION";;"IRAP09-0796";;"UPS";;;;"  OMSO";925,00;"K08P000224";"4500053247";;;;;"CNES4175";;;"ROUDIL";;
SYSTEME PILOT PARABOLE ASTRO;"INSTRUMENTATION";;"IRAP09-0797";;"UPS";;;;"  MICRO CI";3550,00;"A08P0111";"4500055081";;;;;"187+188";;;"BAZER-BACHI";;
MAC BOOK PRO;"INFORMATIQUE";;"IRAP09-0798";;"UPS";;;;"I CONCEPT";1674,63;"K06P00040";"4500059008";;;;;;;;"BARRET";;
MODULE C 11208-02;"INSTRUMENTATION";;"IRAP09-0799";;"UPS";;;;"HAMAMATSU PHOTONICS";2302,00;"A08P0111";"4500061268";;;;;;;;"BAZER-BACHI";;
MODULE S 11028-050 MPPC;"INSTRUMENTATION";;"IRAP09-0800";;"UPS";;;;"HAMAMATSU PHOTONICS";495,00;"A08P0111";"4500061268";;;;;"838 + 839/09";;;"BAZER-BACHI";;
MacBook Pro Intel Core i7 Duo 2,66Ghz 4G;"INFORMATIQUE";;"IRAP09-0801";;"UPS";;;;"I CONCEPT";2173,34;"K08P000186";"4500062301";;;;;;;;"BARRET";;
ACQUI. MIROIR M1/EXPÉRIENCE PILOT ;"OPTIQUE";;"IRAP09-0802";;"UPS";;;;"SAGEM DEFENSE SECURITE";63025,99;"K08P000224";"4500045721";;;;;"832 + 833";;;;;
PC PORTABLE;"INFORMATIQUE";;"IRAP09-0803";;"UPS";;;;"HP";1082,78;"K08P000224";"4500045890";;;;;"228+229";;;"MOT";;
iMac Intel COre QuadCore 2,66Ghz 4G0;"INFORMATIQUE";;"IRAP09-0804";;"UPS";;;;"I CONCEPT";1716,78;"K06P00041";"4500046515";;;;;"845+846";;;"KNODLSEDER ET BRANDT";;
CTO MACBOOK PRO 15,4;"INFORMATIQUE";;"IRAP09-0805";;"UPS";;;;"I CONCEPT";1901,41;"K06P00019";"4500046614";;;;;;;;"JEAN P";;
iMac Intel COre QuadCore 2,66Ghz 4G0/1To;"INFORMATIQUE";;"IRAP09-0806";;"UPS";;;;"I CONCEPT";1393,69;"K06P00019";"4500046617";;;;;;;;"JEAN P";;
VIDEOPROJECTEUR OPTIMA EX 6153500;"LOGISTIQUE";;"IRAP09-0807";;"UPS";;;;"RSM INFORMATIQUE";1032,78;"A09P0091";"4500047159";;;;;;;;"REME";;
MACBOOK PRO INTEL CORE2 DUO 2.66GHz;"INFORMATIQUE";;"IRAP09-0808";;"UPS";;;;"I CONCEPT";1445,81;"K06P00040";"4500048680";;;;;"315+316+317";;;"BARRET";;
PORTABLE HP;"INFORMATIQUE";;"IRAP09-0809";;"UPS";;;;"HP";2438,00;"K06P00027";"4500079278";;;;;;;;"PEYMIRAT";;
MAC;"INFORMATIQUE";;"IRAP09-0810";;"UPS";;;;"I CONCEPT";1825,00;"A10P00027";"4500077895";;;;;"1000-01";;;"JACQUEY";;
MAC;"INFORMATIQUE";;"IRAP09-0811";;"UPS";;;;"I CONCEPT";1897,00;"K06P00044";"4500080791";;;;;"EN ATTENTE";;;"BARTHE";;
STATION DE TRAVAIL;"INFORMATIQUE";;"IRAP09-0812";;"UPS";;;;"HP";2996,00;" K06P00048";"4500073374";;;;;;;;"STRIEBIG N.OMP";;
POMPE POUR BANC A VIDE;"INSTRUMENTATION";;"IRAP09-0813";;"UPS";;;;"ALCATEL";5218,00;"K06P00059";"4500074664";;;;;"336";;;"LE COMTE";;
MACBOOK PRO;"INFORMATIQUE";;"IRAP09-0814";;"UPS";;;;"I CONCEPT";1439,00;"K07P000138";"4500081499";;;;;;;;"PENOU";;
POWER EDGE;"INFORMATIQUE";;"IRAP09-0815";;"UPS";;;;"APX SYNSTAR";6311,00;"K06P00065";"4500081289";;;;;"29060313000--2402";;;"PENOU";;
SYSTEME RAID SAS SATA;"INFORMATIQUE";;"IRAP09-0816";;"UPS";;;;"TRANSTEC";8557,00;"K06P00065";"4500081281";;;;;"380";;;"PENOU";;
